"CODMUN","SALARIO_MEAN_2019","SALARIO_MEAN_2018","SALARIO_MEAN_2017","SALARIO_MEAN_2016","SALARIO_MEAN_2015","SALARIO_MEAN_2014","SALARIO_MEAN_2013","SALARIO_MEAN_2012","SALARIO_MEAN_2011","SALARIO_MEAN_2010","SALARIO_MEAN_2020","SALARIO_MEAN_2021","GASTO_MEAN_2015","GASTO_MEAN_2016","GASTO_MEAN_2017","GASTO_MEAN_2018","GASTO_MEAN_2019","GASTO_MEAN_2020","GASTO_MEAN_2014","GASTO_MEAN_2013","GASTO_MEAN_2012","GASTO_MEAN_2011","GASTO_MEAN_2010"
39027,"0.7995291216335618","0.7694066767317569","0.7423875056865942","0.7423875056865942","0.7031000586615066","0.6570905884692108","0.658395334638843","0.6958209484519792","0.70316872951254","0.7435471899201069","0.8358801342290054","0.8425746116867299","0.0019894645176039664","0.0029129494273188836","0.0019085121709713894","0.0024931934805877834","0.005553057329647844","0.004934404247152849","0.006533161808477913","0.004921318733102265","0.004212270788023256","0.005305638223206746","0.005394102114758954"
39017,"0.7045999743588836","0.6725741881583384","0.6446447234485605","0.6446447234485605","0.6010747585013071","0.5615791963619303","0.5626992197658829","0.5948262068792565","0.6011337071015151","0.6357954840238337","0.7367275926921273","0.7426442811512882","0.005202828123558558","0.00548788935572809","0.005042404996332243","0.006353351372612632","0.008342409765020738","0.00693022032954386","0.00781866719591404","0.005920720782887181","0.0050233034710937575","0.006729474189359276","0.005080029613256216"
39032,"0.925506523843943","0.8853191274004294","0.8537898650169469","0.8537898650169469","0.8167988406457745","0.7635301571954779","0.765040761651531","0.8083712578909514","0.8168783461434616","0.8636275787834231","0.9674622664189227","0.9751889225100793","0.005202828123558558","0.00548788935572809","0.0028352962880523634","0.004784135029613221","0.007294338771430284","0.008905555572777701","0.000321506461713395","0.006764844020162102","0.0012836173023323247","0.00842678662374896","0.006650733866712668"
39059,"0.8268212216358601","0.8008444323220308","0.7717882404889184","0.7717882404889184","0.7280320791102664","0.6804307989598355","0.6817806860088775","0.7205011303103476","0.7281031257970583","0.7698785776305707","0.8643864587541426","0.8713045503044708","0.0015946667592451414","0.0006683318751902135","0.001082946502847902","0.0036738526053479736","0.004091094553227464","0.002458255043191384","0.0","0.00042253353364172494","0.0018240681550242626","0.0030595360383500947","0.0009071201396986995"
39065,"0.7564246477648047","0.7890090232595455","0.7054068255616105","0.7054068255616105","0.6876560991016184","0.6426326640632319","0.6439094480419325","0.6805329884836051","0.6877232982583923","0.7272364024413343","0.7908579439070951","0.797199250747296","0.005202828123558558","0.00548788935572809","0.005042404996332243","0.006353351372612632","0.008342409765020738","0.00693022032954386","0.005612737104548332","0.005463801447723285","0.004822348811634218","0.0062677956110339566","0.008493667049951522"
39070,"0.7363154331737646","0.6897663253241348","0.6533959557242909","0.6533959557242909","0.6278249791455609","0.5866215222251999","0.587789978466225","0.6213062232745785","0.627886476842457","0.6640471226173411","0.7698540711003292","0.7760306158381863","0.005202828123558558","0.00548788935572809","0.005042404996332243","0.006353351372612632","0.008342409765020738","0.00693022032954386","0.007041173547560671","0.006924170785367602","0.005658119415261493","0.006350691824411834","0.006486278593815818"
39077,"0.8826037627758676","0.8131524938642201","0.7637483740664798","0.7637483740664798","0.800429071051988","0.74820553202973","0.7496864980617045","0.792166839505183","0.8005070166326183","0.8463390180431969","0.9226507630927593","0.9300259012726657","0.005202828123558558","0.00548788935572809","0.005042404996332243","0.006353351372612632","0.008342409765020738","0.00693022032954386","0.006798033676177218","0.004090175343442195","0.0061729316776215305","0.008197681550543574","0.005302413161114061"
39092,"0.8426956609794518","0.8009255948690507","0.7520179988883731","0.7520179988883731","0.7283710521007611","0.6807481298783242","0.6820986306577664","0.7208366793312413","0.7284421310891529","0.7702365762634706","0.880967151318838","0.8880153079190932","0.005202828123558558","0.00548788935572809","0.005042404996332243","0.006353351372612632","0.008342409765020738","0.00693022032954386","0.006856714216807943","0.006655895082442978","0.006349644985109297","0.006424326952557918","0.006221354107471529"
39093,"0.9490758887851389","0.8902998819403397","0.9184155430815161","0.9184155430815161","0.8053943092226151","0.7528537595681559","0.7543437154538795","0.7970819237548948","0.8054727279534428","0.8515829416800429","0.9920802315373467","1.0","0.005202828123558558","0.00548788935572809","0.005042404996332243","0.006353351372612632","0.008342409765020738","0.00693022032954386","0.0073346156334392005","0.0065207967626651105","0.007239816966004417","0.005004638396259414","0.006820537868289963"
39075,"0.8656256719350549","0.8348320445978454","0.8083666885794064","0.8083666885794064","0.7657066194411453","0.7156999703159014","0.7171180693209456","0.7577951197287934","0.7657812562308847","0.8096676885975166","0.9049173176164232","0.9121533481286458","0.012024353093826573","0.012882386764675183","0.014342865023457316","0.014462224374901547","0.01643114840577736","0.015905751319508634","0.014501102027002544","0.012498854713919644","0.014927368317373542","0.012780388541685577","0.015326578855947109"
